"","Company...Maker.if.known.","Specific.Bean.Origin.or.Bar.Name","REF","Review.Date","Cocoa.Percent","Company.Location","Rating","Bean.Type","Broad.Bean.Origin","Amazon.Rating","Deliciousness.Rating"
"1","A. Morin","Agua Grande",1876,2016,"63%","France",3.75," ","Sao Tome",2,1
"2","A. Morin","Kpime",1676,2015,"70%","France",2.75," ","Togo",2,-1
"3","A. Morin","Atsane",1676,2015,"70%","France",3," ","Togo",4,1
"4","A. Morin","Akata",1680,2015,"70%","France",3.5," ","Togo",1,1
"5","A. Morin","Quilla",1704,2015,"70%","France",3.5," ","Peru",0,-1
"6","A. Morin","Carenero",1315,2014,"70%","France",2.75,"Criollo","Venezuela",3,1
"7","A. Morin","Cuba",1315,2014,"70%","France",3.5," ","Cuba",2,-1
"8","A. Morin","Sur del Lago",1315,2014,"70%","France",3.5,"Criollo","Venezuela",-1,1
"9","A. Morin","Puerto Cabello",1319,2014,"70%","France",3.75,"Criollo","Venezuela",4,-1
"10","A. Morin","Pablino",1319,2014,"70%","France",4," ","Peru",3,-1
"11","A. Morin","Panama",1011,2013,"70%","France",2.75," ","Panama",4,0
"12","A. Morin","Madagascar",1011,2013,"70%","France",3,"Criollo","Madagascar",0,0
"13","A. Morin","Brazil",1011,2013,"70%","France",3.25," ","Brazil",0,1
"14","A. Morin","Equateur",1011,2013,"70%","France",3.75," ","Ecuador",1,-1
"15","A. Morin","Colombie",1015,2013,"70%","France",2.75," ","Colombia",4,-1
"16","A. Morin","Birmanie",1015,2013,"70%","France",3," ","Burma",5,-1
"17","A. Morin","Papua New Guinea",1015,2013,"70%","France",3.25," ","Papua New Guinea",3,1
"18","A. Morin","Chuao",1015,2013,"70%","France",4,"Trinitario","Venezuela",4,0
"19","A. Morin","Piura",1019,2013,"70%","France",3.25," ","Peru",3,1
"20","A. Morin","Chanchamayo Province",1019,2013,"70%","France",3.5," ","Peru",4,-1
"21","A. Morin","Chanchamayo Province",1019,2013,"63%","France",4," ","Peru",-1,-1
"22","A. Morin","Bolivia",797,2012,"70%","France",3.5," ","Bolivia",5,1
"23","A. Morin","Peru",797,2012,"63%","France",3.75," ","Peru",-1,0
"24","Acalli","Chulucanas, El Platanal",1462,2015,"70%","U.S.A.",3.75," ","Peru",3,0
"25","Acalli","Tumbes, Norandino",1470,2015,"70%","U.S.A.",3.75,"Criollo","Peru",3,1
"26","Adi","Vanua Levu",705,2011,"60%","Fiji",2.75,"Trinitario","Fiji",3,-1
"27","Adi","Vanua Levu, Toto-A",705,2011,"80%","Fiji",3.25,"Trinitario","Fiji",5,1
"28","Adi","Vanua Levu",705,2011,"88%","Fiji",3.5,"Trinitario","Fiji",-1,0
"29","Adi","Vanua Levu, Ami-Ami-CA",705,2011,"72%","Fiji",3.5,"Trinitario","Fiji",4,1
"30","Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,"55%","Ecuador",2.75,"Forastero (Arriba)","Ecuador",1,0
"31","Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,"70%","Ecuador",3,"Forastero (Arriba)","Ecuador",4,1
"32","Ah Cacao","Tabasco",316,2009,"70%","Mexico",3,"Criollo","Mexico",4,0
"33","Akesson's (Pralus)","Bali (west), Sukrama Family, Melaya area",636,2011,"75%","Switzerland",3.75,"Trinitario","Indonesia",-1,0
"34","Akesson's (Pralus)","Madagascar, Ambolikapiky P.",502,2010,"75%","Switzerland",2.75,"Criollo","Madagascar",1,-1
"35","Akesson's (Pralus)","Monte Alegre, D. Badero",508,2010,"75%","Switzerland",2.75,"Forastero","Brazil",0,-1
"36","Alain Ducasse","Trinite",1215,2014,"65%","France",2.75,"Trinitario","Trinidad",5,1
"37","Alain Ducasse","Vietnam",1215,2014,"75%","France",2.75,"Trinitario","Vietnam",0,1
"38","Alain Ducasse","Madagascar",1215,2014,"75%","France",3,"Trinitario","Madagascar",5,-1
"39","Alain Ducasse","Chuao",1061,2013,"75%","France",2.5,"Trinitario","Venezuela",0,0
"40","Alain Ducasse","Piura, Perou",1173,2013,"75%","France",2.5," ","Peru",2,0
"41","Alexandre","Winak Coop, Napo",1944,2017,"70%","Netherlands",3.5,"Forastero (Nacional)","Ecuador",3,1
"42","Alexandre","La Dalia, Matagalpa",1944,2017,"70%","Netherlands",3.5,"Criollo, Trinitario","Nicaragua",4,0
"43","Alexandre","Tien Giang",1944,2017,"70%","Netherlands",3.5,"Trinitario","Vietnam",5,1
"44","Alexandre","Makwale Village, Kyela",1944,2017,"70%","Netherlands",3.5,"Forastero","Tanzania",2,0
"45","Altus aka Cao Artisan","Momotombo",1728,2016,"60%","U.S.A.",2.75," ","Nicaragua",5,0
"46","Altus aka Cao Artisan","Acopagro",1728,2016,"60%","U.S.A.",3," ","Peru",5,0
